MaBN,HoTen,NgaySinh,GioiTinh,DiaChi,SDT,SoBHYT,NgheNghiep,DoiTuong,Email,NguoiLienHe,SDT_NguoiLienHe,DiaChiNha,Quan,TinhThanh
BN0001,Phan Giang,2001/13/01,female,"23 3/2, Quan 1, HCMC",942505965,HS4359656608787,,,phan3@mail.vn,Phan Giang,84226949993,23 3/2,Quận 1,Thành Phố Hồ Chí Minh
BN0002,Phan Chau,31/02/2010,other,"23 3/2, District 5, HCMC",906858811,HS4981453137054,Tu do,BHYT,phanchau@example.com,Nguyen Oanh,84258525899,23 3/2,Quận 5,Thành Phố Hồ Chí Minh
BN0003,Huynh Son,2001/13/01,female,"12 3/2, Q5, HCMC",123456789,DN6012735002666,Cong nhan,bhyt,noemail,Vu Quynh,123456789,12 3/2,Quận 5,Thành Phố Hồ Chí Minh
BN0004,Tran Khanh,1984/08/11,female,"63 Nguyen Trai, Quan 5, HCMC",337227453,QN5900547147310,Engineer,Dich Vu,trankhanh@example.com,,84339076927,63 Nguyen Trai,Quận 5,Thành Phố Hồ Chí Minh
BN0005,Le Linh,,male,"105 Nguyen Trai, Quan 5, HCMC",,BHYT-68661450,Cong nhan,DV,noemail,Le Linh,84036132750,105 Nguyen Trai,Quận 5,Thành Phố Hồ Chí Minh
BN0006,Nguyen Chau,not_a_date,female,"90 Pham Ngu Lao, Q1, HCMC",971828159,QN7087474212037,,DV,noemail,Pham Quynh,abc1234567,90 Pham Ngu Lao,Quận 1,Thành Phố Hồ Chí Minh
BN0007,Le Phuong,31/02/2010,male,"90 CMT8, Quan 1, HCMC",84306895955,HS2219284084292,GV,bhyt,,Dang Dung,922791384,90 CMT8,Quận 1,Thành Phố Hồ Chí Minh
BN0008,Pham Uyên,31/02/2010,male,"167 Le Loi, District 10, HCMC",908147245,DN7124106375923,GV,BHYT,pham48@mail.vn,,387464065,167 Le Loi,Quận 10,Thành Phố Hồ Chí Minh
BN0009,Tran Nam,,male,"167 Pham Ngu Lao, Quan 1, HCMC",903718403,HS7153500984527,Hoc sinh,DV,noemail,Phan Minh,391975745,167 Pham Ngu Lao,Quận 1,Thành Phố Hồ Chí Minh
BN0010,Phan Linh,5-8-1969,other,"64 Le Loi, Quan 10, HCMC",abc1234567,BHYT-60903487,Cong nhan,bhyt,phanlinh@,Phan Giang,992463504,64 Le Loi,Quận 10,Thành Phố Hồ Chí Minh
BN0011,Le Nam,,male,"178 Pham Ngu Lao, Tan Binh, HCMC",84933282005,BHYT-58284051,Cong nhan,BHYT,,Nguyen Nam,abc1234567,178 Pham Ngu Lao,Tan Binh,Thành Phố Hồ Chí Minh
BN0012,Vo Binh,08/04/1999,other,"108 Pham Ngu Lao, Q5, HCMC",abc1234567,DN2172497881206,Engineer,Dich Vu,,,932465242,108 Pham Ngu Lao,Quận 5,Thành Phố Hồ Chí Minh
BN0013,Bui Linh,2001/13/01,male,"53 Nguyen Trai, Quan 10, HCMC",900703139,5593242292,Engineer,DV,builinh@,,903887022,53 Nguyen Trai,Quận 10,Thành Phố Hồ Chí Minh
BN0014,Le Phuong,,other,"9 Le Loi, Q1, HCMC",903860328,BHYT-68617960,Cong nhan,bhyt,le93@mail.vn,Pham Minh,,9 Le Loi,Quận 1,Thành Phố Hồ Chí Minh
